original,label,code
Endothelial_precursors,endothelial cell,CL_0000115
Erythroblasts,place holder 2,PLACEHOLDER_2
Foetal_thymus,place holder 3,PLACEHOLDER_3
Macrophages_M0,place holder 4,PLACEHOLDER_4
Macrophages_M1,place holder 5,PLACEHOLDER_5
Macrophages_M2,place holder 6,PLACEHOLDER_6
Megakaryocytes,place holder 7,PLACEHOLDER_7
Monocytes,place holder 8,PLACEHOLDER_8
Naive_B,place holder 9,PLACEHOLDER_9
Naive_CD4,place holder 10,PLACEHOLDER_10
Naive_CD8,place holder 11,PLACEHOLDER_11
Neutrophils,place holder 12,PLACEHOLDER_12
Total_B,place holder 13,PLACEHOLDER_13
Total_CD4_Activated,place holder 14,PLACEHOLDER_14
Total_CD4_MF,place holder 15,PLACEHOLDER_15
Total_CD4_NonActivated,place holder 16,PLACEHOLDER_16
Total_CD8,place holder 17,PLACEHOLDER_17
