study_id	biofeature_string	biofeature_code	biofeature_ontology_term	label	tissue_label	condition_label	old_study_id	old_bio_feature_code
Alasoo_2018	macrophage_IFNg	MACROPHAGE_IFNG	CL_0000235	macrophage IFNg 18h	macrophage	IFNg_18h	ALASOO_2018	MACROPHAGE_IFNG
Alasoo_2018	macrophage_IFNg+Salmonella	MACROPHAGE_IFNG+SALMONELLA	CL_0000235	macrophage IFNg 18h+Salmonella 5h	macrophage	IFNg_18h+Salmonella_5h	ALASOO_2018	MACROPHAGE_IFNG_SALMONELLA
Alasoo_2018	macrophage_naive	MACROPHAGE_NAIVE	CL_0000235	macrophage	macrophage	naive	ALASOO_2018	MACROPHAGE_NAIVE
Alasoo_2018	macrophage_Salmonella	MACROPHAGE_SALMONELLA	CL_0000235	macrophage Salmonella 5h	macrophage	Salmonella_5h	ALASOO_2018	MACROPHAGE_SALMONELLA
BLUEPRINT	monocyte	MONOCYTE	CL_0002057	monocyte	monocyte	naive	Blueprint	MONOCYTE
BLUEPRINT	neutrophil	NEUTROPHIL	CL_0000775	neutrophil	neutrophil	naive	Blueprint	NEUTROPHIL
BLUEPRINT	T-cell	T-CELL	CL_0000624	CD4+ T cell	CD4+ T cell	naive	Blueprint	T_CELL
Braineac2	putamen	PUTAMEN	UBERON_0001874	brain (putamen)	brain (putamen)	naive		
Braineac2	substantia_nigra	SUBSTANTIA_NIGRA	UBERON_0002038	brain (substantia nigra)	brain (substantia_nigra)	naive		
BrainSeq	brain	BRAIN	UBERON_0009834	brain (DLPFC)	brain (DLPFC)	naive		
CAP	LCL_naive	LCL_NAIVE	EFO_0005292	LCL	LCL	naive		
CAP	LCL_statin	LCL_STATIN	EFO_0005292	LCL statin	LCL	statin		
CEDAR	B-cell_CD19	B-CELL_CD19	CL_0000236	B cell	B cell	naive	CEDAR	B_CELL_CD19
CEDAR	ileum	ILEUM	UBERON_0002116	ileum	ileum	naive	CEDAR	ILEUM
CEDAR	monocyte_CD14	MONOCYTE_CD14	CL_0002057	monocyte	monocyte	naive	CEDAR	MONOCYTE_CD14
