SOMAMER_ID	UniProt	TargetFullName	Target	HGNC	ensembl_id	chrom	gene	tss
A1CF.12423.38.3	Q9NQ94	APOBEC1 complementation factor	A1CF	A1CF	ENSG00000148584	10	ENSG00000148584	52645435.0
A4GALT.8759.29.3	Q9NPC4	Lactosylceramide 4-alpha-galactosyltransferase	a1,4-Galactosyltransferase	A4GALT	ENSG00000128274	22	ENSG00000128274	43091639.0
AARS.12340.17.3	P49588	Alanine--tRNA ligase, cytoplasmic	SYAC	AARS	ENSG00000090861	16	ENSG00000090861	70298888.0
ABCC6.8935.22.3	O95255	Multidrug resistance-associated protein 6	MRP6	ABCC6	ENSG00000091262	16	ENSG00000091262	16317321.0
ABHD12.7825.7.3	Q8N2K0	Monoacylglycerol lipase ABHD12	ABD12	ABHD12	ENSG00000100997	20	ENSG00000100997	25320385.0
ABHD14A.5715.4.3	Q9BUJ0	Alpha/beta hydrolase domain-containing protein 14A	ABHEA	ABHD14A	ENSG00000248487	3	ENSG00000248487	52009084.0
ABL1.3341.33.4	P00519	Tyrosine-protein kinase ABL1	ABL1	ABL1	ENSG00000097007	9	ENSG00000097007	133589367.0
ABL2.5261.13.3	P42684	Abelson tyrosine-protein kinase 2	ABL2	ABL2	ENSG00000143322	1	ENSG00000143322	179112217.5
ABLIM3.13578.98.3	O94929	Actin-binding LIM protein 3	ABLM3	ABLIM3	ENSG00000173210	5	ENSG00000173210	148521497.0
ABO.9253.52.3	P16442	Histo-blood group ABO system transferase	BGAT	ABO	ENSG00000175164	9	ENSG00000175164	136150611.0
ACACB.12900.29.3	O00763	Acetyl-CoA carboxylase 2	ACACB	ACACB	ENSG00000076555	12	ENSG00000076555	109649878.5
ACAN.3280.49.2	P16112	Aggrecan core protein	Aggrecan	ACAN	ENSG00000157766	15	ENSG00000157766	89363214.0
ACAP2.12343.14.3	Q15057	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	CENB2	ACAP2	ENSG00000114331	3	ENSG00000114331	195070139.5
ACBD6.10075.75.3	Q9BR61	Acyl-CoA-binding domain-containing protein 6	ACBD6	ACBD6	ENSG00000135847	1	ENSG00000135847	180399397.0
ACBD7.13563.259.3	Q8N6N7	Acyl-CoA-binding domain-containing protein 7	ACBD7	ACBD7	ENSG00000176244	10	ENSG00000176244	15130627.5
ACE2.2805.6.2	Q9BYF1	Angiotensin-converting enzyme 2	ACE2	ACE2	ENSG00000130234	X	ENSG00000130234	15619137.0
ACLY.12700.9.3	P53396	ATP-citrate synthase	ACLY	ACLY	ENSG00000131473	17	ENSG00000131473	40075225.5
ACP1.3858.5.1	P24666	Low molecular weight phosphotyrosine protein phosphatase	PPAC	ACP1	ENSG00000143727	2	ENSG00000143727	264916.0
ACP2.9237.54.3	P11117	Lysosomal acid phosphatase	Lysosomal acid phosphatase	ACP2	ENSG00000134575	11	ENSG00000134575	47270365.0
ACP5.3232.28.2	P13686	Tartrate-resistant acid phosphatase type 5	TrATPase	ACP5	ENSG00000102575	19	ENSG00000102575	11689360.0
ACPL2.6079.59.3	Q8TE99	2-phosphoxylose phosphatase 1	ACPL2	ACPL2	ENSG00000155893	3	ENSG00000155893	140950721.0
ACVR1B.2806.49.2	P36896	Activin receptor type-1B	Activin RIB	ACVR1B	ENSG00000135503	12	ENSG00000135503	52345490.0
ACVRL1.2969.11.1	P37023	Serine/threonine-protein kinase receptor R3	ALK-1	ACVRL1	ENSG00000139567	12	ENSG00000139567	52306135.5
ACYP2.12812.25.3	P14621	Acylphosphatase-2	ACYP2	ACYP2	ENSG00000170634	2	ENSG00000170634	54342540.0
ADAM11.6586.19.3	O75078	Disintegrin and metalloproteinase domain-containing protein 11	ADA11	ADAM11	ENSG00000073670	17	ENSG00000073670	42836693.0
ADAM12.4420.7.2	O43184	Disintegrin and metalloproteinase domain-containing protein 12	ADAM12	ADAM12	ENSG00000148848	10	ENSG00000148848	127843874.0
ADAM19.8948.13.3	Q9H013	Disintegrin and metalloproteinase domain-containing protein 19	ADA19	ADAM19	ENSG00000135074	5	ENSG00000135074	157002768.0
ADAM23.7049.2.3	O75077	Disintegrin and metalloproteinase domain-containing protein 23	ADAM 23	ADAM23	ENSG00000114948	2	ENSG00000114948	207308565.0
ADAM29.13549.15.3	Q9UKF5	Disintegrin and metalloproteinase domain-containing protein 29	ADA29	ADAM29	ENSG00000168594	4	ENSG00000168594	175839513.0
ADAM9.3795.6.2	Q13443	Disintegrin and metalloproteinase domain-containing protein 9	ADAM 9	ADAM9	ENSG00000168615	8	ENSG00000168615	38854545.0
ADAMTS1.3174.2.1	Q9UHI8	A disintegrin and metalloproteinase with thrombospondin motifs 1	ATS1	ADAMTS1	ENSG00000154734	21	ENSG00000154734	28215598.0
ADAMTS13.3175.51.5	Q76LX8	A disintegrin and metalloproteinase with thrombospondin motifs 13	ATS13	ADAMTS13	ENSG00000160323	9	ENSG00000160323	136287444.0
ADAMTS15.4533.76.2	Q8TE58	A disintegrin and metalloproteinase with thrombospondin motifs 15	ATS15	ADAMTS15	ENSG00000166106	11	ENSG00000166106	130318869.0
ADAMTS3.8845.2.3	O15072	A disintegrin and metalloproteinase with thrombospondin motifs 3	ATS3	ADAMTS3	ENSG00000156140	4	ENSG00000156140	73433762.0
ADAMTS4.2809.25.2	O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS-4	ADAMTS4	ENSG00000158859	1	ENSG00000158859	161168843.0
ADAMTS5.3168.8.2	Q9UNA0	A disintegrin and metalloproteinase with thrombospondin motifs 5	ADAMTS-5	ADAMTS5	ENSG00000154736	21	ENSG00000154736	28338832.0
ADAMTS6.6441.62.3	Q9UKP5	A disintegrin and metalloproteinase with thrombospondin motifs 6	ATS6	ADAMTS6	ENSG00000049192	5	ENSG00000049192	64769518.0
ADAMTSL1.6575.79.3	Q8N6G6	ADAMTS-like protein 1	ATL1	ADAMTSL1	ENSG00000178031	9	ENSG00000178031	18682126.0
ADCK4.9794.17.3	Q96D53	AarF domain-containing protein kinase 4	ADCK4	ADCK4	ENSG00000123815	19	ENSG00000123815	41221264.5
ADCYAP1.4593.11.1	P18509	Pituitary adenylate cyclase-activating polypeptide 27	PACAP-27	ADCYAP1	ENSG00000141433	18	ENSG00000141433	906331.0
ADCYAP1.4594.22.2	P18509	Pituitary adenylate cyclase-activating polypeptide 38	PACAP-38	ADCYAP1	ENSG00000141433	18	ENSG00000141433	906331.0
ADCYAP1.8285.64.3	P18509	Pituitary adenylate cyclase-activating polypeptide	PACA	ADCYAP1	ENSG00000141433	18	ENSG00000141433	906331.0
ADGRF1.11243.90.3	Q5T601	Adhesion G-protein coupled receptor F1	GPR110	ADGRF1				
ADGRF5.6409.57.3	Q8IZF2	Adhesion G protein-coupled receptor F5	GP116	ADGRF5				
ADGRG5.4551.72.3	Q8IZF4	Adhesion G-protein coupled receptor G5	GP114	ADGRG5				
ADH1B.9834.62.3	P00325	Alcohol dehydrogenase 1B	ADH1B	ADH1B	ENSG00000196616	4	ENSG00000196616	100242556.0
ADH4.8325.37.3	P08319	Alcohol dehydrogenase 4	ADH4	ADH4	ENSG00000198099	4	ENSG00000198099	100065423.0
